label,kp,ki,kd,mc,mt,easing_curve,easing_on
2E_kp30M_mt2000,30000000,30,40000000,1000,2000,in_out,1
2F_kp30M_mc600,30000000,30,40000000,600,3000,in_out,1
2G_kp60M,60000000,30,40000000,1000,3000,in_out,1
2H_kp30M_ki1000,30000000,1000,40000000,1000,3000,in_out,1
